Year, Total # in thousands ,Elementary 0-4,Middle School 5-8,High School 1-3,High School 4,College 1-3,College 4
1950,44857,4417,15824,7843,10114,3358,2264
1952,45990,3608,15398,8180,12314,3550,2638
1957,49422,3951,14682,8948,14602,3638,2813
1959,50437,3559,14451,9194,15349,4087,2969
1960,51468,3781,15656,10151,14267,4620,2991
1962,52381,3613,14511,9352,16545,4855,3505
1964,"53,447","3,333","14,086","9,881","17825","4,686","3,629"
1965,"54,004","3,207","13,753","10,085","18,369","4,767","3,820"
1966,"54,467","3,090","13,488","10,246","18,719","4,892","4,032"
1967,"55,107","2,985","13,439","10,185","19,157","5,162","4,178"
1968,"55,959","2,987","13,060","10,160","19,991","5,309","4,450"
1969,"56,719","2,919","12,796","10,131","20,955","5,301","4,619"
1970,"57,527","2,716","12,595","10,327","21,563","5,584","4,743"
1971,"58,270","2,641","12,327","10,339","22,021","5,984","4,959"
1972,"58,782","2,490","11,649","10,442","22,746","6,145","5,309"
1973,"59,799","2,502","11,350","10,300","23,437","6,454","5,755"
1974,"60,838","2,469","11,015","10,308","23,972","6,910","6,165"
1975,"61,861","2,344","10,871","10,252","24,584","7,243","6,565"
1976,"62,946","2,230","10,449","10,281","25,109","7,779","7,098"
1977,"63,953","2,213","10,236","10,349","25,312","8,142","7,701"
1978,"65,097","2,214","10,114","10,353","25,761","8,721","7,934"
1979,"66,309","2,133","9,720","9,945","26,665","9,293","8,554"
1980,"69,020","2,178","9,800","10,040","27,854","9,786","9,362"
1981,"70,390","2,217","9,545","9,957","28,896","10,309","9,466"
1982,"71,762","2,045","9,245","10,046","29,677","10,673","10,076"
1983,"73,016","2,015","8,964","9,814","30,012","11,220","10,990"
1984,"74,444","1,939","8,571","9,596","31,083","11,603","11,651"
1985,"75,768","1,926","8,390","9,770","31,314","12,242","12,126"
1986,"77,102","1,916","8,226","9,612","32,078","12,874","12,399"
1987,"78,467","1,846","8,042","9,508","32,671","13,417","12,983"
1988,"79,724","1,862","7,700","9,599","33,303","13,741","13,519"
1989,"80,930","1,904","7,402","9,643","33,440","13,888","14,652"
1990,"82,116","1,829","7,200","9,462","33,693","14,806","15,126"
1991,"83,207","1,784","6,747","9,491","34,083","15,449","15,652"
1992,"84,248","1,712","6,263","9,587","32,086","18,889","15,709"
1993,"85,181","1,672","6,154","9,246","31,823","19,930","16,357"
1994,"85,973","1,487","5,932","9,135","31,111","21,470","16,838"
1995,"86,975","1,476","5,642","8,874","31,072","22,317","17,594"
1996,"87,984","1,491","5,528","9,171","30,911","22,071","18,813"
1997,"88,961","1,387","5,450","8,999","31,360","22,442","19,323"
1998,"89,835","1,403","5,220","8,758","31,599","22,714","20,142"
1999,"90,837","1,404","5,004","8,707","31,566","23,133","21,021"
2000,"91,620","1,400","4,861","8,378","31,435","23,953","21,594"
2001,"94,293","1,392","4,845","8,664","31,316","25,161","22,915"
2002,"95,146","1,445","4,926","8,484","31,509","24,915","23,868"
2003,"96,586","1,433","4,795","8,297","31,936","25,342","24,784"
2004,"97,319","1,363","4,580","8,233","31,921","25,808","25,413"
2005,"98,467","1,477","4,532","8,311","31,742","26,283","26,122"
2006,"99,651","1,479","4,395","8,215","31,518","27,234","26,810"
2007,"100,897","1,371","4,213","8,157","31,887","27,024","28,245"
2008,"101,835","1,289","4,090","7,663","31,692","27,747","29,354"
2009,"102,767","1,413","4,016","7,833","31,601","28,036","29,868"
2010,"103,603","1,336","3,904","7,555","31,774","28,350","30,683"
2011,"104,323","1,355","3,806","7,320","31,541","28,930","31,372"
2012,"106,460","1,246","3,920","7,604","31,898","29,267","32,524"
2013,"107,594","1,217","3,741","7,282","31,690","29,890","33,775"
2014,"108,695","1,341","3,627","7,142","31,522","30,279","34,784"
2015,"110,245","1,358","3,626","7,408","31,578","30,253","36,021"
2016,"111,643","1,231","3,565","6,817","31,221","31,192","37,617"
2017,"112,597","1,117","3,288","6,799","31,216","31,185","38,991"
2018,"113,969","1,156","3,316","6,743","31,360","31,142","40,251"
2019,"114,783","1,098","3,192","6,580","31,002","30,902","42,009"
